Room Rate,Month Record,Number of Star,Hotel Location,Number of Nights,Room-type Name
0,10,3,Residence area,1,SUPERIOR
47500,10,3,Residence area,2,SUPERIOR
95000,11,3,Residence area,2,DELUXE
60000,11,3,Residence area,1,SUPERIOR
100000,11,3,Residence area,1,SUITE
46875,11,3,Residence area,1,SUPERIOR
60000,11,3,Residence area,1,SUPERIOR
75000,11,3,Residence area,1,SUPERIOR
75000,11,3,Residence area,1,SUPERIOR
75000,11,3,Residence area,1,SUPERIOR
0,12,3,Residence area,1,SUPERIOR
0,12,3,Residence area,1,SUPERIOR
50000,12,3,Residence area,1,SUPERIOR
0,12,3,Residence area,1,SUPERIOR
60000,12,3,Residence area,1,SUPERIOR
60000,12,3,Residence area,1,DELUXE
120000,12,3,Residence area,1,SUITE
55000,12,3,Residence area,1,SUPERIOR
0,2,3,Residence area,2,DELUXE
0,2,3,Residence area,2,DELUXE
0,3,3,Residence area,4,SUPERIOR
70495,3,3,Residence area,1,DELUXE
70495,3,3,Residence area,1,DELUXE
60000,4,3,Residence area,1,SUPERIOR
60000,4,3,Residence area,1,DELUXE
60000,5,3,Residence area,2,SUPERIOR
100000,5,3,Residence area,1,SUITE
45000,5,3,Residence area,2,SUPERIOR
88000,5,3,Residence area,3,DELUXE
67500,5,3,Residence area,3,SUPERIOR
67500,5,3,Residence area,2,SUPERIOR
100000,5,3,Residence area,2,SUITE
120000,5,3,Residence area,3,SUITE
75000,5,3,Residence area,1,SUPERIOR
75000,5,3,Residence area,1,SUPERIOR
75000,5,3,Residence area,1,SUPERIOR
60000,5,3,Residence area,1,DELUXE
60000,5,3,Residence area,1,SUPERIOR
60000,5,3,Residence area,3,SUPERIOR
55000,5,3,Residence area,4,SUPERIOR
70495,5,3,Residence area,1,DELUXE
110000,5,3,Residence area,1,SUITE
63684,5,3,Residence area,2,SUPERIOR
60000,5,3,Residence area,3,SUPERIOR
75000,5,3,Residence area,7,SUPERIOR
75000,5,3,Residence area,7,SUPERIOR
50000,5,3,Residence area,2,SUPERIOR
75000,5,3,Residence area,7,SUPERIOR
75000,5,3,Residence area,7,SUPERIOR
75000,5,3,Residence area,2,SUPERIOR
76000,5,3,Residence area,1,DELUXE
70000,5,3,Residence area,1,SUPERIOR
70495,6,3,Residence area,4,DELUXE
75000,6,3,Residence area,8,SUPERIOR
75000,6,3,Residence area,7,SUPERIOR
100000,6,3,Residence area,2,SUITE
50000,6,3,Residence area,1,DELUXE
50000,6,3,Residence area,1,DELUXE
50000,6,3,Residence area,14,DELUXE
50000,6,3,Residence area,14,DELUXE
60000,6,3,Residence area,14,SUPERIOR
70000,6,3,Residence area,26,SUPERIOR
77000,6,3,Residence area,2,SUPERIOR
60000,6,3,Residence area,1,SUPERIOR
55000,6,3,Residence area,1,SUPERIOR
0,6,3,Residence area,12,SUPERIOR
60000,6,3,Residence area,4,SUPERIOR
60000,6,3,Residence area,4,SUPERIOR
90000,6,3,Residence area,4,SUITE
60000,6,3,Residence area,2,SUPERIOR
55000,6,3,Residence area,3,SUPERIOR
55000,6,3,Residence area,1,SUPERIOR
103000,6,3,Residence area,1,SUPERIOR
50000,6,3,Residence area,7,DELUXE
55000,6,3,Residence area,2,SUPERIOR
